"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","Hand","Last.Name","First.Name","Position","Team"
"512",2400000,"86-02-18","Meadow Lake","Canada","Canada",73,202,2004,"R","Comeau","Blake","LW/RW","COL"
"513",867500,"93-10-09","Toronto","Canada","Canada",72,200,2012,"L","Di Giuseppe","Phillip","LW","CAR"
"514",1300000,"85-01-30","Greenfield Park","Canada","Canada",71,190,2004,"R","Mitchell","Torrey","C/RW","MTL"
"516",832500,"95-03-28","Calgary","Canada","Canada",72,195,2013,"L","Morrissey","Josh","D","WPG"
"518",7e+05,"94-05-07","Burlington","Canada","Canada",75,221,2012,"R","Anderson","Josh","RW","CBJ"
"525",5e+06,"87-09-22","Hull","Canada","Canada",73,204,2006,"L","Brassard","Derick","C","OTT"
"527",615000,"94-03-24","Cambridge","Canada","Canada",75,210,2012,"R","Dotchin","Jake","D","T.B"
"530",1600000,"85-09-08","St. John's","Canada","Canada",74,195,NA,"R","Purcell","Teddy","LW/RW","L.A"
"531",874125,"93-09-07","Edmonton","Canada","Canada",75,210,2011,"L","Siemens","Duncan","D","COL"
"532",5e+06,"88-05-11","Halifax","Canada","Canada",69,181,2006,"L","Marchand","Brad","LW/C","BOS"
"536",2250000,"91-08-10","Buffalo","United States","Canada",75,228,2009,"L","Foligno","Marcus","LW","BUF"
"537",950000,"86-05-13","Lethbridge","Canada","Canada",71,176,2004,"R","Versteeg","Kris","RW/LW","CGY"
"538",1200000,"83-06-03","Sault Ste. Marie","Canada","Canada",75,235,2001,"R","Thorburn","Chris","RW/LW","WPG"
"542",9e+05,"93-06-28","Brandon","Canada","Canada",76,220,2011,"L","Edmundson","Joel","D","STL"
"543",1.2e+07,"85-08-14","Sicamous","Canada","Canada",76,232,2003,"R","Weber","Shea","D","MTL"
"546",874125,"91-12-31","Toronto","Canada","Canada",72,180,NA,"L","Tanev","Brandon","LW/C/RW","WPG"
"550",670000,"94-04-16","Toronto","Canada","Canada",70,190,2012,"L","Smith","Gemel","C","DAL"
"553",925000,"96-01-22","Toronto","Canada","Canada",72,173,2014,"R","Ho-Sang","Joshua","RW/C","NYI"
"555",625000,"86-03-30","Guelph","Canada","Canada",71,205,NA,"L","Haley","Micheal","C","S.J"
"557",3500000,"87-11-18","Welland","Canada","Canada",71,218,2006,"R","Clutterbuck","Cal","RW","NYI"
"558",925000,"94-05-25","Edmonton","Canada","Canada",73,195,2012,"R","Benning","Matthew","D","EDM"
"559",1650000,"87-05-15","St. Albert","Canada","Canada",76,214,NA,"L","Holden","Nick","D","NYR"
"563",925000,"96-01-22","Mississauga","Canada","Canada",70,195,2014,"L","Fabbri","Robby","C/LW","STL"
"567",925000,"97-03-11","London","Canada","Canada",70,175,2015,"R","Konecny","Travis","C/LW","PHI"
"572",1750000,"85-10-16","Calgary","Canada","Canada",75,215,NA,"R","Beagle","Jay","C/RW","WSH"
"573",6e+06,"91-11-14","Calgary","Canada","Canada",73,201,2010,"L","Hall","Taylor","LW/C","N.J"
"576",3700000,"85-02-27","Shaunavon","Canada","Canada",77,223,2003,"L","Coburn","Braydon","D","T.B"
"579",832500,"95-07-12","Lac-Beauport","Canada","Canada",78,202,2013,"L","Morin","Samuel","D","PHI"
"581",832500,"94-03-25","Sudbury","Canada","Canada",74,217,2012,"L","Gaunce","Brendan","C/LW","VAN"
"586",6e+06,"83-03-20","Kitchener","Canada","Canada",72,202,2002,"R","Wideman","Dennis","D","CGY"
"587",750000,"93-03-31","Aurora","Canada","Canada",71,185,2011,"R","Murphy","Ryan","D","CAR"
"588",7e+06,"90-01-18","King City","Canada","Canada",75,205,2008,"R","Pietrangelo","Alex","D","STL"
"589",640000,"96-10-08","Quebec City","Canada","Canada",71,174,2015,"R","Carrier","Alex","D","NSH"
"590",3e+06,"88-08-05","Fergus","Canada","Canada",73,205,2006,"L","McGinn","Jamie","LW/RW","ARI"
"592",925000,"97-05-26","Coquitlam","Canada","Canada",72,182,2015,"R","Barzal","Mathew","C","NYI"
"594",3750000,"92-05-13","Winnipeg","Canada","Canada",75,206,2010,"R","Stone","Mark","RW","OTT"
"597",925000,"97-06-08","Sorel-Tracy","Canada","Canada",71,170,2015,"L","Beauvillier","Anthony","C/LW","NYI"
"604",3700000,"89-10-02","Bowmanville","Canada","Canada",73,210,2008,"L","Bailey","Josh","RW/LW/C","NYI"
"605",6500000,"79-09-15","Aneroid","Canada","Canada",74,215,1997,"L","Marleau","Patrick","LW/C","S.J"
"610",4250000,"87-03-30","Montreal","Canada","Canada",73,205,2005,"L","Vlasic","Marc-Edouard","D","S.J"
"612",925000,"93-05-12","St. Albert","Canada","Canada",78,226,2012,"R","Parayko","Colton","D","STL"
